九村,くむら【人】
九生,きゅうしょう
九町,くちょう【地】
九百,きゅうひゃく／くひゃく
九百六十,960年【歴】宋の中国統一
九目,くめ【人】
二一,にいちが＝2
二七,にしち＝14
二七一,2.71＝ネイピア数
二七一八,2.718＝ネイピア数
二三,にさんが＝6
二中,にちゅう【略】第二中学
二九,ふたく【人】／にく＝18
二二,ににんが＝4
二二三,2.23＝√5
二二三六,2.236＝√5
二二五,ににご
二二六,ににろく【歴】1936年二・二六事件
二五,にご【人】／にご＝10
二人,ふたり
二人目,ふたりめ
二八,にっぱち／にはち＝16
二六,にろく＝12
二円,にえん
二十,にじゅう20
二十一,にじゅういち21／にそいち【人】
二十二,にじゅうに／にそじ【人】／じそじ【人】
二十五,にじゅうご25
二十五日,にじゅうごにち
二十六,にじゅうろく26
二十四,にじゅうよん24
二十年,にじゅうねん
二十年目,にじゅうねんめ
二十日,はつか
二十日正月,はつかしょうがつ
二十日草,はつかぐさ【植】
二千,にせん2000
二千三,2003年【歴】イラク戦争
二千六百年,ふじむね【人】
二千円,にせんえん
二口,ふたくち【人】
二口目,ふたくちめ
二口虫,にこうちゅう
二名,にめい／ふた（つ）な
二四,にしが＝8
二天,にてん【仏】
二女,じじょ
二女子,ににょし【地】
二女子町,ににょしちょう【地】
二子,ふた（つ）ご
二子森,ふたごもり【地】
二字,にじ
二川,ふたがわ【地】
二年,にねん
二年生,にねんせい
二年目,にねんめ
二手,にて／ふたて
二文字,にもじ／ふたもじ／にもんじ【人】
二日,ふつか
二日月,ふつかづき
二日目,ふつかめ
二月,にがつ／ふたつき
二月目,ふたつきめ
二木,にもく
二本,にほん
二本木,にほんき【地】／にほんぎ【地】
二本目,にほんめ
二本足,にほんあし
二村,ふたむら【人／地】／にむら【人】
二村山,ふたむらやま
二林,ふたばやし【人】
二校,にこう＝二度目の校正
二気,にき
二水,にすい
二王,におう
二生,にしょう
二男,じなん
二町,にちょう【人】／ふたまち【人】
二百,にひゃく
二百十日,にひゃくとおか
二目,ふため／にもく【碁】
二目見,ふため（と）み（られない）
二立三本,ふたたてさんぼん
二立目,ふたため
二糸,に（の）いと
二見,ふたみ【地】
二足,にそく／に（の）あし
二足目,にそくめ
五一,ぐいち／ごいちが＝5
五一三六,ぐいちさぶろく
五一五,ごいちご【歴】1932年五・一五事件
五七,ごしち＝35
五七日,ごしちにち
五三,ごさん＝15
五三八,538年【歴】仏教が日本に伝わる
五三十,ごさんじゅう
五三文学,ごさんぶんがく
五三日,ごさんにち
五九,ごっく＝45
五九三,593年【歴】聖徳太子が摂政に
五二,ぐに／ごに＝10
五五,ごご＝25
五五三,ごごさん
五五八八,ごごはちはち
五五百年,ごごひゃくねん
五人,ごにん
五人女,ごにんおんな
五人目,ごにんめ
五入,ごにゅう
五八,ごは＝40
五六,ふのぼり【人】／ごろく＝30
五円,ごえん
五円玉,ごえんだま
五力,ごりき
五十,ごじゅう50／いそ
五十三,ごじゅうさん53
五十五,ごじゅうご55
五十五年,ごじゅうごねん
五十円,ごじゅうえん
五十円玉,ごじゅうえんだま
五十右,いみぎ【人】
五十子,いらこ【人】
五十山田,いかいだ【人】／いがいだ【人】
五十川,いそがわ【人】／いそかわ【人】
五十年,ごじゅうねん
五十年目,ごじゅうねんめ
五十日,いか／ごとおび
五十木,いかるぎ【人】／ごじゅうき【人】
五十音,ごじゅうおん
五千,ごせん5000
五千円,ごせんえん
五千文,ごせんぶん
五名,ごめい
五四,ぐし／ごし＝20
五大,ごだい
五大力,ごだいりき
五天,ごてん
五女子,ごにょし【地】
五女子町,ごにょしちょう【地】
五女木,ごめき【地】
五子,ごし【碁】
五山,ごさん
五山文学,ごさんぶんがく
五年,ごねん
五年生,ごねんせい
五年目,ごねん
五手,ごて
五手目,ごてめ
五文字,ごもじ／いつもじ
